nan	Minneapolis, MN	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	348.0	nan
AmerisourceBergen Corp.	Chesterbrook, PA	l	nan	nan	nan	nan	nan	l	nan	nan	nan	nan	nan	30.0	nan	26.0	nan
nan	Thousand Oaks, CA	l	l	nan	l	l	nan	l	l	l	l	nan	nan	70.0	70.0	168.0	nan
AMR Corp. (American Airlines)	Fort Worth, TX	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	104.0	nan
nan	Cleveland, OH	l	l	l	l	l	nan	l	nan	nan	w	l	nan	83.0	83.0	nan	nan
Anadarko Petroleum	The Woodlands, TX	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	162.0	nan
nan	Houston, TX	l	l	l	l	l	nan	l	nan	l	l	l	nan	95.0	70.0	nan	nan
Anheuser-Busch Companies Inc.	St. Louis, MO	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
nan	Glenview, IL	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	30.0	nan	404.0	nan
Aon Corp.	Chicago, IL	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	307.0	nan
nan	Houston, TX	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	30.0	nan	217.0	nan
Apple Inc.	Cupertino, CA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	71.0	nan
nan	Santa Clara, CA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	315.0	nan
Aramark Corp.	Philadelphia, PA	l	l	l	nan	nan	nan	l	l	l	l	l	nan	90.0	75.0	198.0	nan
nan	Decatur, IL	l	nan	nan	nan	nan	nan	l	l	l	nan	nan	nan	40.0	nan	27.0	nan
Arent Fox LLP	Washington, DC	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	122.0
nan	Washington, DC	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
Arrow Electronics	Melville, NY	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	151.0	nan
nan	Troy, MI	l	nan	nan	nan	nan	nan	l	nan	nan	nan	nan	nan	30.0	nan	346.0	nan
Asbury Automotive Group	Duluth, GA	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	486.0	nan
30	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Assurant New York, NY	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	299.0	nan
Astellas Pharma US, Inc. Deerfield, IL	l	l	nan	l	l	nan	l	l	l	w	nan	nan	63.0	nan	nan	nan
AstraZeneca PLC Wilmington, DE	l	l	nan	nan	l	nan	l	l	l	l	l	nan	80.0	80.0	nan	nan
AT&T Inc. Dallas, TX	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	8.0	nan
Atmos Energy Corp. Dallas, TX	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	30.0	nan	343.0	nan
Austin Radiological Assn. Austin, TX	l	nan	nan	nan	l	nan	l	l	l	w	nan	nan	53.0	53.0	nan	nan
Autoliv Inc. Auburn Hills, MI	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	30.0	nan	386.0	nan
Automatic Data Processing Inc. Roseland, NJ	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	297.0	nan
15 pointsAutoNation Inc. Fort Lauderdale, FL	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	182.0	nan
Auto-Owners Insurance Group Lansing, MI	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	476.0	5 points
AutoZone Inc. Memphis, TN	l	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	25.0	25.0	380.0	5 points
Avaya Inc. Basking Ridge, NJ	l	l	l	l	l	4.0	l	l	l	l	nan	nan	85.0	85.0	nan	nan
Avery Dennison Pasadena, CA	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	376.0	15 points
Avis Budget Group Inc. Parsippany, NJ	l	l	nan	l	l	nan	l	nan	l	l	l	nan	80.0	80.0	411.0	5 points
Avnet Inc. Phoenix, AZ	l	l	nan	nan	l	nan	l	l	l	l	nan	nan	65.0	30.0	144.0	5 points
Avon Products Inc. New York, NY	l	nan	l	nan	l	nan	l	l	l	l	l	nan	90.0	90.0	255.0	15 ptsw 7.5 pts
B J�s Wholesale Club Natick, MA	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	269.0	nan
Bain & Co. Inc. (& Bridgespan Group Inc.) Boston, MA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
Baker & Daniels LLP Indianapolis, IN	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	172
Baker & McKenzie Chicago, IL	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	95.0	nan	2
Baker Botts LLP Houston, TX	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	43
Baker Hughes Inc. Houston, TX	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	227.0	nan
Baker, Donelson, Bearman, Caldwell & Memphis, TN	l	l	nan	l	nan	nan	l	nan	nan	l	l	nan	70.0	70.0	nan	115
Berkowitz PC	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Baldor Electric Co. Fort Smith, AR	l	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	20.0	20.0	910.0	nan
Ball Corp. Broomfield, CO	nan	l	nan	nan	l	nan	l	l	l	w	nan	nan	43.0	43.0	336.0	nan
Ballard Spahr LLP Philadelphia, PA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	96
Bank of America Corp. Charlotte, NC	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	11.0	nan
Bank of New York Mellon Corp., The New York, NY	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	156.0	nan
(BNY Mellon)	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Barclays Capital New York, NY	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	95.0	nan	nan
Barnes & Noble Inc. New York, NY	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	455.0	nan
BASF Corp. Florham Park, NJ	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
Bausch & Lomb Inc. Rochester, NY	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
Bayer Corp. Pittsburgh, PA	l	l	nan	l	l	nan	l	l	l	l	l	nan	85.0	80.0	nan	nan	nan
BB&T Corp. Winston-Salem, NC	l	l	l	nan	l	nan	l	l	l	w	l	nan	88.0	73.0	260.0	nan	nan
Becton, Dickinson and Co. Franklin Lakes, NJ	l	nan	nan	nan	nan	nan	l	nan	l	nan	nan	nan	35.0	nan	347.0	nan	nan
Bed Bath & Beyond Inc. Union, NJ	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	30.0	nan	355.0	nan	nan
Berkshire Hathaway Inc. Omaha, NE	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	13.0	nan	nan
Best Buy Co. Inc. Richfield, MN	l	l	l	l	l	nan	l	l	l	l	l	-15.0	85.0	100.0	56.0	nan	nan
Big Lots Columbus, OH	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	498.0	nan	nan
15 pointsBingham McCutchen LLP Boston, MA	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	nan	32.0	nan
BJ Services Company Houston, TX	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	438.0	nan	5 points
Black & Decker Corp., The Towson, MD	l	l	nan	l	l	nan	l	nan	l	nan	nan	nan	50.0	50.0	408.0	nan	5 points
BlackRock New York, NY	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	469.0	nan	nan
Blockbuster Inc. Dallas, TX	l	l	nan	nan	nan	nan	l	l	l	nan	nan	nan	45.0	nan	450.0	nan	15 points
Blue Cross Blue Shield of Florida Inc. Jacksonville, FL	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan	5 points
Blue Cross Blue Shield of Minnesota Eagan, MN	l	l	l	l	nan	nan	l	l	l	l	l	nan	95.0	nan	nan	nan	5 points
Blue Cross Blue Shield of North Carolina Durham, NC	l	l	l	nan	l	nan	l	nan	l	l	l	nan	90.0	90.0	nan	nan	15 ptsw 7.5 pts
BMC Software Inc. Houston, TX	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	994.0	nan	nan
BNP Paribas New York, NY	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	nan	nan	nan	nan
Boehringer Ingelheim USA Corp. Ridgefield, CT	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan	nan
Boeing Co. Chicago, IL	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	34.0	nan	nan
Bon-Ton Stores, Inc. York, PA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	nan	654.0	nan	nan
Booz Allen Hamilton Inc. McLean, VA	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	nan	nan	nan
Borders Group Inc. Ann Arbor, MI	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	639.0	nan	nan
BorgWarner Inc. Auburn Hills, MI	l	nan	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	30.0	nan	453.0	nan	nan
Boston Consulting Group Boston, MA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan	nan
Boston Scientific Corp. Natick, MA	l	nan	nan	nan	nan	nan	l	nan	nan	nan	nan	nan	30.0	nan	320.0	nan	nan
BP America Inc. Houston, TX	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan	nan
Bridgestone Americas Holding Inc. Nashville, TN	l	l	l	l	l	nan	nan	nan	l	l	l	nan	80.0	80.0	nan	nan	nan
Bright Horizons Family Solutions Inc. Watertown, MA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan	nan
Brightpoint, Inc. Indianapolis, IN	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	496.0	nan	nan
Brinker International Inc. Dallas, TX	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	533.0	nan	nan
Bristol-Myers Squibb Co. New York, NY	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	120.0	nan	nan
nan	nan	l	l	l	nan	nan	nan	l	l	l	w	l	nan	83.0	nan	nan	nan
Brown Rudnick LLP	Boston, MA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	166.0
nan	St. Louis, MO	l	l	nan	nan	l	nan	l	nan	l	l	l	nan	75.0	nan	828.0	nan
Brown-Forman Corp.	Louisville, KY	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	85.0	758.0	nan
nan	Lake Forest, IL	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	491.0	nan
Bryan Cave LLP	St. Louis, MO	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	58.0
nan	Miami, FL	l	l	nan	nan	l	nan	l	l	l	w	l	nan	73.0	68.0	790.0	nan
Burlington Northern Santa Fe Corp.	Fort Worth, TX	l	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	20.0	20.0	142.0	nan
nan	Keene, NH	l	nan	nan	nan	l	nan	l	l	nan	nan	nan	nan	40.0	40.0	nan	nan
C. H. Robinson Worldwide	Eden Prairie, MN	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	300.0	nan
nan	Bethpage, NY	l	nan	nan	nan	nan	nan	l	nan	nan	nan	nan	nan	30.0	nan	342.0	nan
Cadwalader, Wickersham & Taft LLP	New York, NY	l	l	l	l	nan	nan	l	l	l	l	l	nan	95.0	95.0	nan	57.0
nan	Houston, TX	l	nan	nan	nan	nan	nan	l	l	l	w	nan	nan	48.0	48.0	272.0	nan
Cameron International Corp.	Houston, TX	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	421.0	nan
nan	Camden, NJ	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	309.0	nan
Canadian Imperial Bank of Commerce	New York, NY	l	l	l	l	nan	nan	l	l	l	l	l	nan	95.0	95.0	nan	nan
nan	New York, NY	l	l	nan	nan	nan	nan	l	l	l	l	nan	nan	60.0	60.0	nan	nan
Capital One Financial Corp.	McLean, VA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	145.0	nan
nan	Dublin, OH	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	18.0	nan
CareFusion Corp.	San Diego, CA	l	l	l	nan	l	nan	l	nan	l	l	nan	nan	75.0	nan	nan	nan
nan	Wayzata, MN	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
Carlson Companies Inc.	Minnetonka, MN	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	nan	nan
nan	Tampa, FL	l	l	l	l	l	4.0	l	l	l	l	l	nan	100.0	100.0	nan	nan
Carmax Inc.	Richmond, VA	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	311.0	nan
nan	Peoria, IL	l	l	l	l	nan	nan	nan	nan	l	l	l	nan	75.0	75.0	44.0	nan
CBS Corp.	New York, NY	l	nan	l	nan	nan	nan	l	nan	nan	nan	nan	nan	45.0	nan	186.0	nan
nan	San Antonio, TX	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	100.0	372.0	nan
CDW Corp.	Vernon Hills, IL	l	l	l	l	l	nan	l	l	l	l	l	nan	100.0	88.0	nan	nan
nan	Dallas, TX	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	368.0	nan
CenterPoint Energy Inc.	Houston, TX	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	238.0	nan
nan	Dallas, TX	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	308.0	nan
Cerner Corp.	Kansas City, MO	l	l	l	l	nan	nan	l	l	l	w	nan	nan	73.0	73.0	nan	nan
80	80	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
Chamberlin Edmonds & Associates Inc. Atlanta, GA	l	nan	nan	nan	l	l	l	l	w	nan	53.0	53.0	nan	nan	nan
Chapman and Cutler LLP Chicago, IL	l	l	l	l	l	l	l	l	l	l	100.0	100.0	nan	168.0	nan
Charles Schwab Corp., The San Francisco, CA	l	l	l	l	l	l	l	l	l	l	100.0	100.0	440.0	nan	nan
Charter Communications St. Louis, MO	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	385.0	nan	nan
Chesapeake Energy Corp. Oklahoma City, OK	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	230.0	nan	nan
Chevron Corp. San Ramon, CA	l	l	l	l	l	l	l	l	l	l	100.0	100.0	3.0	nan	nan
Choate, Hall & Stewart LLP Boston, MA	l	l	l	l	l	l	l	l	l	l	100.0	nan	nan	158.0	nan
15 pointsChoice Hotels International Inc. Silver Spring, MD	l	l	l	l	l	l	nan	l	l	l	95.0	90.0	nan	nan	nan
Chrysler Group LLC Auburn Hills, MI	5 pointsl	l	l	l	l	4 l	l	l	l	l	100.0	100.0	nan	nan	nan
CHS Inc. Inver Grove Hts, MN	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	72.0	nan	5 points
Chubb Corp. Warren, NJ	l	l	l	l	l	l	l	l	l	l	100.0	100.0	203.0	nan	nan
CIGNA Corp. Philadelphia, PA	l	l	l	l	nan	l	l	l	l	l	95.0	95.0	132.0	nan	15 points
Cisco Systems Inc. San Jose, CA	l	l	l	l	l	4 l	l	l	l	l	100.0	100.0	57.0	nan	5 points
CIT Group Inc. New York, NY	l	nan	nan	nan	nan	l	nan	nan	nan	nan	30.0	nan	397.0	nan	5 points
Citigroup Inc. New York, NY	l	l	l	l	l	4 l	l	l	l	l	100.0	100.0	12.0	nan	15 ptsw 7.5 pts
Cleary, Gottlieb, Steen & Hamilton LLP New York, NY	l	l	l	l	l	l	l	l	l	l	100.0	100.0	nan	18.0	nan
Clifford Chance US LLP New York, NY	l	l	l	l	l	4 l	l	l	l	l	100.0	100.0	nan	nan	nan
Clorox Co. Oakland, CA	l	l	l	l	l	l	l	l	l	l	100.0	100.0	452.0	nan	nan
