Covington & Burling LLP	nan	Washington, DC	l	l	l	l	l	l	l	l	nan	100	nan	44.0
Credit Suisse uSA Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Crowell & Moring LLP	nan	Washington, DC	l	l	l	l	l	l	l	l	nan	100	nan	80.0
Cummins Inc.	nan	Columbus, IN	l	l	l	l	l	l	l	l	nan	100	218.0	nan
Debevoise & Plimpton LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	35.0
Delhaize America Inc.	nan	Salisbury, NC	l	l	l	l	l	l	l	l	nan	100	nan	nan
Dell Inc.	nan	Round Rock, TX	l	l	l	l	l	l	l	l	nan	100	38.0	nan
Deloitte LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Deutsche Bank	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Dewey & LeBoeuf LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	19.0
Diageo North America	nan	Norwalk, CT	l	l	l	l	l	l	l	l	nan	100	nan	nan
DLA Piper	nan	Baltimore, MD	l	l	l	l	l	l	l	l	nan	100	nan	13.0
Dorsey & Whitney LLP	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	nan	79.0
Dow Chemical Co., The	nan	Midland, MI	l	l	l	l	l	l	l	l	nan	100	46.0	nan
E. I. du Pont de Nemours and Co.	DuPont)	Wilmington, DE	l	l	l	l	l	l	l	l	nan	100	86.0	nan
Eastman Kodak Co.	nan	Rochester, NY	l	l	l	l	l	l	l	l	nan	100	297.0	nan
eBay Inc.	nan	San Jose, CA	l	l	l	l	l	l	l	l	nan	100	267.0	nan
Edwards Angell Palmer & Dodge L	LP	Boston, MA	l	l	l	l	l	l	l	l	nan	100	nan	94.0
Eli Lilly & Co.	nan	Indianapolis, IN	l	l	l	l	l	l	l	l	nan	100	112.0	nan
EMC Corp.	nan	Hopkinton, MA	l	l	l	l	l	l	l	l	nan	100	166.0	nan
Ernst & Young LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Exelon Corp.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	134.0	nan
Faegre & Benson LLP	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	nan	95.0
Federal Home Loan Mortgage Cor	. (Freddie Mac)	McLean, VA	l	l	l	l	l	l	l	l	nan	100	54.0	nan
Fenwick & West LLP	nan	Mountain View, CA	l	l	l	l	l	l	l	l	nan	100	nan	136.0
Ford Motor Co.	nan	Dearborn, MI	l	l	l	l	l	l	l	l	nan	100	8.0	nan
Fried, Frank, Harris, Shriver & Jaco	son LLP	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	65.0
Gap Inc.	nan	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	162.0	nan
Genentech Inc.	nan	South San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	nan	nan
General Mills Inc.	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	155.0	nan
Gibson, Dunn & Crutcher LLP	nan	Los Angeles, CA	l	l	l	l	l	l	l	l	nan	100	nan	14.0
GlaxoSmithKline plc	nan	Philadelphia, PA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Goldman Sachs Group Inc., The	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	39.0	nan
Google Inc.	nan	Mountain View, CA	l	l	l	l	l	l	l	l	nan	100	102.0	nan
Group Health Cooperative	nan	Seattle, WA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Herman Miller Inc.	nan	Zeeland, MI	l	l	l	l	l	l	l	l	nan	100	965.0	nan
Hewlett-Packard Co.	nan	Palo Alto, CA	l	l	l	l	l	l	l	l	nan	100	10.0	nan
Hinshaw & Culbertson LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	138.0
Hogan Lovells uS LLP	nan	Washington, DC	l	l	l	l	l	l	l	l	nan	100	nan	23.0
Hyatt Hotels Corp.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	581.0	nan
ING North America Insurance Cor	.	Atlanta, GA	l	l	l	l	l	l	l	l	nan	100	nan	nan
International Business Machines	orp. (IBM)	Armonk, NY	l	l	l	l	l	l	l	l	nan	100	20.0	nan
Intuit Inc.	nan	Mountain View, CA	l	l	l	l	l	l	l	l	nan	100	610.0	nan
Jenner & Block LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	75.0
Johnson & Johnson	nan	New Brunswick, NJ	l	l	l	l	l	l	l	l	nan	100	33.0	nan
JPMorgan Chase & Co.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	9.0	nan
K&L Gates LLP	nan	Pittsburgh, PA	l	l	l	l	l	l	l	l	nan	100	nan	12.0
Kellogg Co.	nan	Battle Creek, MI	l	l	l	l	l	l	l	l	nan	100	184.0	nan
Kimpton Hotel & Restaurant Grou	Inc.	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Kirkland & Ellis LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	5.0
KPMG LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Kraft Foods Inc.	nan	Northfield, IL	l	l	l	l	l	l	l	l	nan	100	53.0	nan
Levi Strauss & Co.	nan	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	503.0	nan
Limited Brands Inc.	nan	Columbus, OH	l	l	l	l	l	l	l	l	nan	100	269.0	nan
Littler Mendelson PC	nan	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	nan	74.0
Lockheed Martin Corp.	nan	Bethesda, MD	l	l	l	l	l	l	l	l	nan	100	44.0	nan
Marsh & McLennan Companies In	.	New York, NY	l	l	l	l	l	l	l	l	nan	100	221.0	nan
McDermott Will & Emery LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	27.0
McKinsey & Co. Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Medtronic Inc.	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	160.0	nan
MetLife Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	51.0	nan
Microsoft Corp.	nan	Redmond, WA	l	l	l	l	l	l	l	l	nan	100	36.0	nan
MillerCoors LLC	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	nan
Mitchell Gold + Bob Williams	nan	Taylorsville, NC	l	l	l	l	l	l	l	l	nan	100	nan	nan
Morgan Lewis & Bockius LLP	nan	Philadelphia, PA	l	l	l	l	l	l	l	l	nan	100	nan	11.0
Morgan Stanley	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	70.0	nan
Morrison & Foerster LLP	nan	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	nan	21.0
Nationwide	nan	Columbus, OH	l	l	l	l	l	l	l	l	nan	100	118.0	nan
Navigant Consulting Inc.	nan	Chicago , IL	l	l	l	l	l	l	l	l	nan	100	nan	nan
Nike Inc.	nan	Beaverton, OR	l	l	l	l	l	l	l	l	nan	100	124.0	nan
Nixon Peabody LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	60.0
Nordstrom Inc.	nan	Seattle, WA	l	l	l	l	l	l	l	l	nan	100	270.0	nan
Northern Trust Corp.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	497.0	nan
Office Depot Inc.	nan	Boca Raton, FL	l	l	l	l	l	l	l	l	nan	100	192.0	nan
Oracle Corp.	nan	Redwood City, CA	l	l	l	l	l	l	l	l	nan	100	105.0	nan
Orbitz Worldwide Inc.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	nan
Orrick, Herrington & Sutcliffe LLP	nan	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	nan	25.0
Owens Corning	nan	Toledo, OH	l	l	l	l	l	l	l	l	nan	100	432.0	nan
Patterson Belknap Webb & Tyler L	P	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	160.0
Paul Hastings LLP	nan	Los Angeles, CA	l	l	l	l	l	l	l	l	nan	100	nan	20.0
Paul, Weiss, Rifkind, Wharton & G	rrison LLP	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	37.0
Perkins Coie LLP	nan	Seattle, WA	l	l	l	l	l	l	l	l	nan	100	nan	63.0
Pfizer Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	40.0	nan
PG&E Corp.	nan	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	173.0	nan
Pillsbury Winthrop Shaw Pittman	LP	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	53.0
PricewaterhouseCoopers LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Prudential Financial Inc.	nan	Newark, NJ	l	l	l	l	l	l	l	l	nan	100	65.0	nan
Raytheon Co.	nan	Waltham, MA	l	l	l	l	l	l	l	l	nan	100	95.0	nan
Replacements Ltd.	nan	McLeansville, NC	l	l	l	l	l	l	l	l	nan	100	nan	nan
Robins, Kaplan, Miller & Ciresi LL	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	nan	146.0
Ropes & Gray LLP	nan	Boston, MA	l	l	l	l	l	l	l	l	nan	100	nan	30.0
Schiff Hardin LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	121.0
Sears Holdings Corp.	nan	Hoffman Estates, IL	l	l	l	l	l	l	l	l	nan	100	48.0	nan
Sedgwick, Detert, Moran & Arnold	LLP	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	nan	133.0
Sempra Energy	nan	San Diego, CA	l	l	l	l	l	l	l	l	nan	100	280.0	nan
Seyfarth Shaw LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	62.0
Shearman & Sterling LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	29.0
Sheppard, Mullin, Richter & Hamp	on LLP	Los Angeles, CA	l	l	l	l	l	l	l	l	nan	100	nan	76.0
Shook, Hardy & Bacon LLP	nan	Kansas City, MO	l	l	l	l	l	l	l	l	nan	100	nan	82.0
Sidley Austin LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	6.0
Simpson, Thacher & Bartlett LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	22.0
Sodexo Inc.	nan	Gaithersburg, MD	l	l	l	l	l	l	l	l	nan	100	nan	nan
Southern California Edison Co.	nan	Rosemead, CA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Sprint Nextel Corp.	nan	Overland Park, KS	l	l	l	l	l	l	l	l	nan	100	67.0	nan
Squire, Sanders & Dempsey LLP	nan	Cleveland, OH	l	l	l	l	l	l	l	l	nan	100	nan	52.0
Staples Inc.	nan	Framingham, MA	l	l	l	l	l	l	l	l	nan	100	101.0	nan
Starwood Hotels & Resorts World	ide	White Plains, NY	l	l	l	l	l	l	l	l	nan	100	438.0	nan
Sun Life Financial Inc. (u.S.)	nan	Wellesley Hills, MA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Supervalu Inc.	nan	Eden Prairie, MN	l	l	l	l	l	l	l	l	nan	100	47.0	nan
Sutherland Asbill & Brennan LLP	nan	Atlanta, GA	l	l	l	l	l	l	l	l	nan	100	nan	104.0
Symantec Corp.	nan	Mountain View, CA	l	l	l	l	l	l	l	l	nan	100	353.0	nan
TD Bank, N.A.	nan	Wilmington , DE	l	l	l	l	l	l	l	l	nan	100	nan	nan
Teachers Insurance & Annuity Asso	iation - College Retirement Equities Fund	New York, NY	l	l	l	l	l	l	l	l	nan	100	90.0	nan
Tech Data Corp.	nan	Clearwater, FL	l	l	l	l	l	l	l	l	nan	100	109.0	nan
Thompson Coburn LLP	nan	St. Louis, MO	l	l	l	l	l	l	l	l	nan	100	nan	153.0
Time Warner Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	82.0	nan
TJX Companies Inc., The	nan	Framingham, MA	l	l	l	l	l	l	l	l	nan	100	119.0	nan
Toyota Financial Services Corp.	nan	Torrance, CA	l	l	l	l	l	l	l	l	nan	100	nan	nan
