Campbell Soup Co.	Camden, NJ	302.0	NaN	NaN	95.0	80.0	NaN	NaN	NaN
Canadian Imperial Bank	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
of Commerce	New York, NY	NaN	NaN	NaN	95.0	NaN	Location	NaN	NaN
Capital One Financial Corp.	McLean, VA	187.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Cargill Inc.	Wayzata, MN	NaN	2.0	NaN	100.0	100.0	NaN	NaN	NaN
Carlson Companies Inc.	Minnetonka, MN	NaN	44.0	NaN	100.0	100.0	NaN	NaN	NaN
Caterpillar Inc.	Peoria, IL	55.0	NaN	NaN	45.0	35.0	NaN	NaN	NaN
CBRL Group Inc.	Lebanon, TN	676.0	NaN	NaN	15.0	15.0	NaN	NaN	NaN
Cerner Corp.	Kansas City, MO	NaN	NaN	NaN	65.0	45.0	NaN	NaN	NaN
2006 AmLaw 200CH2M HILL Companies Ltd.	Englewood, CO	591.0	90.0	NaN	80.0	80.0	NaN	NaN	NaN
Chadbourne & Parke	New York, NY	NaN	NaN	92.0	70.0	NaN	2006 AmLaw 200	NaN	NaN
Chamberlin Edmonds	NaN	NaN	NaN	NaN	NaN	NaN	2008 CEI Rating	NaN	NaN
& Associates Inc.	Atlanta, GA	NaN	NaN	NaN	68.0	68.0	2008 CEI Rating	NaN	NaN
Charles Schwab Corp., The	San Francisco, CA	418.0	NaN	NaN	100.0	100.0	2006 CEI Rating	NaN	NaN
Chevron Corp.	San Ramon, CA	4.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
ChoicePoint Inc.	Alpharetta, GA	NaN	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Chrysler LLC	Auburn Hills, MI	NaN	NaN	NaN	100.0	100.0	1b	NaN	NaN
Chubb Corp.	Warren, NJ	156.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
CIGNA Corp.	Philadelphia, PA	130.0	NaN	NaN	85.0	100.0	NaN	NaN	NaN
2bCircuit City Stores Inc.	Richmond, VA	226.0	NaN	NaN	55.0	55.0	NaN	NaN	NaN
Cisco Systems Inc.	San Jose, CA	83.0	NaN	NaN	100.0	100.0	2c	NaN	NaN
Citigroup Inc.	New York, NY	8.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Clear Channel Communications Inc.	San Antonio, TX	252.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Cleary, Gottlieb, Steen & Hamilton New York, NY	NaN	NaN	NaN	18.0	100.0	NaN	3b	NaN	NaN
Clorox Co.	Oakland, CA	460.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
CMP Media LLC	Manhasset, NY	NaN	NaN	NaN	100.0	100.0	NaN	NaN	NaN
CNA Insurance	Chicago, IL	NaN	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Coca-Cola Co., The	Atlanta, GA	89.0	NaN	NaN	100.0	100.0	5	NaN	NaN
Coca-Cola Enterprises	Atlanta, GA	120.0	NaN	NaN	70.0	65.0	NaN	NaN	NaN
Colgate-Palmolive Co.	New York, NY	204.0	NaN	NaN	58.0	78.0	NaN	NaN	NaN
Comcast Corp.	Philadelphia, PA	94.0	NaN	NaN	80.0	85.0	NaN	NaN	NaN
Comerica Inc.	Detroit, MI	524.0	NaN	NaN	80.0	80.0	NaN	NaN	NaN
Compass Group North America	Charlotte, NC	NaN	NaN	NaN	65.0	65.0	NaN	NaN	NaN
ConocoPhillips	Houston, TX	6.0	NaN	NaN	63.0	78.0	NaN	NaN	NaN
Consolidated Edison Co.	New York, NY	199.0	NaN	NaN	80.0	100.0	NaN	NaN	NaN
Constellation Energy	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Group Inc.	Baltimore, MD	125.0	NaN	NaN	73.0	NaN	NaN	NaN	NaN
Continental Airlines Inc.	Houston, TX	207.0	NaN	NaN	80.0	75.0	NaN	NaN	NaN
Cooper Tire & Rubber	Findlay, OH	770.0	NaN	NaN	33.0	33.0	NaN	NaN	NaN
Coors Brewing Co.	Denver, CO	373.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Corbis Corp.	Seattle, WA	NaN	NaN	NaN	80.0	65.0	NaN	NaN	NaN
Corning Inc.	Corning, NY	456.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Costco Wholesale Corp.	Issaquah, WA	28.0	NaN	NaN	93.0	93.0	NaN	NaN	NaN
Countrywide Financial Corp.	Calabasas, CA	122.0	NaN	100.0	80.0	NaN	NaN	NaN	NaN
Covington & Burling	Washington, DC	NaN	63.0	80.0	NaN	NaN	NaN	NaN	NaN
Cox Communications Inc.	Atlanta, GA	316.0	NaN	95.0	95.0	NaN	NaN	NaN	NaN
Cravath, Swaine & Moore LLP	New York, NY	NaN	40.0	95.0	NaN	NaN	NaN	NaN	NaN
Credit Suisse	New York, NY	NaN	NaN	100.0	100.0	NaN	NaN	NaN	NaN
Crowell & Moring LLP	Washington, DC	NaN	112.0	100.0	NaN	Headquarters	NaN	NaN	NaN
CSX Corp.	Jacksonville, FL	266.0	NaN	85.0	40.0	NaN	NaN	NaN	NaN
Cummins Inc.	Columbus, IN	238.0	NaN	100.0	100.0	NaN	NaN	NaN	NaN
CUNA Mutual Insurance Group	Madison, WI	644.0	NaN	65.0	65.0	NaN	NaN	NaN	NaN
Dana Corp.	Toledo, OH	234.0	NaN	20.0	35.0	2006 Fortune 1000	NaN	NaN	NaN
Darden Restaurants	Orlando, FL	409.0	NaN	80.0	80.0	NaN	NaN	NaN	NaN
Dean Foods Co.	Dallas, TX	216.0	NaN	73.0	73.0	NaN	NaN	NaN	NaN
Debevoise & Plimpton	New York, NY	NaN	37.0	90.0	NaN	2006 AmLaw 200	NaN	NaN	NaN
Deere & Co.	Moline, IL	96.0	NaN	33.0	48.0	NaN	NaN	NaN	NaN
Dell Inc.	Round Rock, TX	25.0	NaN	100.0	100.0	2008 CEI Rating	NaN	NaN	NaN
Deloitte & Touche USA LLP	New York, NY	NaN	NaN	100.0	100.0	NaN	NaN	NaN	NaN
Delphi Corp.	Troy, MI	77.0	NaN	45.0	60.0	2006 CEI Rating	NaN	NaN	NaN
Delta Air Lines Inc.	Atlanta, GA	135.0	NaN	85.0	85.0	NaN	NaN	NaN	NaN
Deutsche Bank	New York, NY	NaN	NaN	100.0	100.0	NaN	NaN	NaN	NaN
Dewey Ballantine LLP	New York, NY	NaN	58.0	100.0	NaN	1b	NaN	NaN	NaN
Diageo North America	Norwalk, CT	NaN	NaN	95.0	NaN	NaN	NaN	NaN	NaN
Dickstein Shapiro LLP	Washington, DC	NaN	80.0	100.0	NaN	NaN	NaN	NaN	NaN
Dole Food Co. Inc.	Westlake Village, CA	365.0	NaN	45.0	60.0	NaN	NaN	NaN	NaN
Dominion Resources Inc.	Richmond, VA	123.0	NaN	95.0	95.0	2c	NaN	NaN	NaN
Domino's Pizza Inc.	Ann Arbor, MI	966.0	NaN	60.0	45.0	NaN	NaN	NaN	NaN
Dorsey & Whitney LLP	Minneapolis, MN	NaN	68.0	100.0	100.0	NaN	NaN	NaN	NaN
Dow Chemical Co.	Midland, MI	36.0	NaN	100.0	100.0	3b	NaN	NaN	NaN
Dow Jones & Co. Inc.	New York, NY	867.0	NaN	30.0	30.0	3c	NaN	NaN	NaN
DPR Construction	Redwood City, CA	NaN	NaN	30.0	50.0	NaN	NaN	NaN	NaN
Drinker Biddle & Reath LLP	Philadelphia, PA	NaN	96.0	95.0	NaN	NaN	NaN	NaN	NaN
DTE Energy Co.	Detroit, MI	259.0	NaN	75.0	80.0	5	NaN	NaN	NaN
Duane Morris	Philadelphia, PA	NaN	71.0	80.0	NaN	NaN	NaN	NaN	NaN
Duke Energy Corp.	Charlotte, NC	117.0	NaN	60.0	65.0	NaN	NaN	NaN	NaN
Dun & Bradstreet Corp., The	Short Hills, NJ	993.0	NaN	35.0	35.0	NaN	NaN	NaN	NaN
DuPont (E.I. du Pont de Nemours)	Wilmington, DE	73.0	NaN	100.0	100.0	NaN	NaN	NaN	NaN
Dykema Gossett	Detroit, MI	NaN	143.0	80.0	NaN	NaN	NaN	NaN	NaN
E*TRADE Financial Corp.	New York, NY	679.0	NaN	93.0	73.0	NaN	NaN	NaN	NaN
EarthLink Inc.	Atlanta, GA	NaN	NaN	88.0	63.0	NaN	NaN	NaN	NaN
Eastman Kodak Co.	Rochester, NY	155.0	NaN	100.0	100.0	NaN	NaN	NaN	NaN
Edison International	Rosemead, CA	194.0	NaN	35.0	35.0	NaN	NaN	NaN	NaN
Edwards Angell Palmer	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
& Dodge LLP	Boston, MA	NaN	74.0	90.0	NaN	NaN	NaN	NaN	NaN
Electronic Arts Inc.	Redwood City, CA	594.0	NaN	100.0	88.0	NaN	NaN	NaN	NaN
Electronic Data Systems Corp.	Plano, TX	108.0	NaN	90.0	70.0	NaN	NaN	NaN	NaN
Eli Lilly & Co.	Indianapolis, IN	148.0	NaN	100.0	100.0	NaN	NaN	NaN	NaN
EMC Corp.	Hopkinton, MA	249.0	NaN	NaN	45.0	45.0	NaN	NaN	NaN
Emerson Electric Co.	St. Louis, MO	126.0	NaN	NaN	45.0	45.0	NaN	NaN	NaN
Entergy Corp.	New Orleans, LA	218.0	NaN	NaN	88.0	13.0	NaN	NaN	NaN
Enterprise Rent-A-Car Co.	St. Louis, MO	NaN	21.0	NaN	85.0	NaN	NaN	NaN	NaN
Ernst & Young LLP	New York, NY	NaN	8.0	NaN	100.0	100.0	Location	NaN	NaN
Estee Lauder Companies	New York, NY	340.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Esurance Inc.	San Francisco, CA	NaN	NaN	NaN	100.0	NaN	NaN	NaN	NaN
Exelon Corp.	Chicago, IL	144.0	NaN	NaN	95.0	80.0	NaN	NaN	NaN
Exxon Mobil Corp.	Irving, TX	1.0	NaN	NaN	0.0	0.0	NaN	NaN	NaN
Faegre & Benson	Minneapolis, MN	NaN	NaN	93.0	100.0	100.0	2006 Forbes 200	NaN	NaN
Fannie Mae	Washington, DC	NaN	NaN	NaN	100.0	100.0	NaN	NaN	NaN
FedEx Corp.	Memphis, TN	70.0	NaN	NaN	55.0	55.0	NaN	NaN	NaN
Fenwick & West LLP	Mountain View, CA	NaN	NaN	132.0	90.0	NaN	2006 AmLaw 200	NaN	NaN
Fifth Third Bancorp	Cincinnati, OH	308.0	NaN	NaN	60.0	65.0	2008 CEI Rating	NaN	NaN
Finnegan, Henderson, Farabow,	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Garrett & Dunner	Washington, DC	NaN	NaN	88.0	40.0	NaN	2006 CEI Rating	NaN	NaN
Fish & Richardson	Boston, MA	NaN	NaN	84.0	75.0	75.0	NaN	NaN	NaN
Foley & Lardner LLP	Milwaukee, WI	NaN	NaN	25.0	100.0	95.0	NaN	NaN	NaN
Foley Hoag LLP	Boston, MA	NaN	NaN	159.0	100.0	80.0	NaN	NaN	NaN
Food Lion LLC	Salisbury, NC	NaN	NaN	NaN	80.0	75.0	2a	NaN	NaN
Ford Motor Co.	Dearborn, MI	5.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Franklin Templeton Investments	San Mateo, CA	NaN	NaN	NaN	50.0	60.0	NaN	NaN	NaN
Freddie Mac	McLean, VA	NaN	NaN	NaN	85.0	85.0	2c	NaN	NaN
Freescale Semiconductor Inc.	Austin, TX	368.0	NaN	NaN	100.0	100.0	3a	NaN	NaN
Fulbright & Jaworski LLP	Houston, TX	NaN	NaN	36.0	80.0	85.0	NaN	NaN	NaN
GameStop Corp.	Grapevine, TX	601.0	NaN	NaN	100.0	63.0	NaN	NaN	NaN
Gannett Co. Inc.	McLean, VA	296.0	NaN	NaN	65.0	80.0	3c	NaN	NaN
Gap Inc.	San Francisco, CA	139.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Gateway Inc.	Irvine, CA	508.0	NaN	NaN	65.0	65.0	NaN	NaN	NaN
5Genentech Inc.	South	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	San Francisco, CA	NaN	NaN	NaN	100.0	80.0	NaN	NaN	NaN
General Dynamics Corp.	Falls Church, VA	100.0	NaN	NaN	40.0	55.0	NaN	NaN	NaN
General Electric Co.	Fairfield, CT	7.0	NaN	NaN	75.0	75.0	NaN	NaN	NaN
General Mills Inc.	Minneapolis, MN	206.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
General Motors Corp.	Detroit, MI	3.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Giant Food LLC	Quincy, MA	NaN	NaN	NaN	78.0	78.0	NaN	NaN	NaN
Gibson, Dunn & Crutcher LLP	Los Angeles, CA	NaN	NaN	19.0	80.0	NaN	NaN	NaN	NaN
GlaxoSmithKline plc	Philadelphia, PA	NaN	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Global Hyatt Corp.	Chicago, IL	NaN	87.0	NaN	100.0	100.0	NaN	NaN	NaN
Goldman Sachs Group Inc., The	New York, NY	41.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Google Inc.	Mountain View, CA	353.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Gordon & Rees	San Francisco, CA	NaN	NaN	177.0	85.0	NaN	NaN	NaN	NaN
Guidant Corp.	Indianapolis, IN	535.0	NaN	NaN	80.0	80.0	NaN	NaN	NaN
H.E. Butt Grocery Co.	San Antonio, TX	NaN	11.0	NaN	40.0	40.0	NaN	NaN	NaN
H.J. Heinz Co.	Pittsburgh, PA	262.0	NaN	NaN	48.0	15.0	NaN	NaN	NaN
Hain Celestial Group Inc. Melville, NY	NaN	NaN	NaN	NaN	30.0	30.0	NaN	NaN	NaN
Hallmark Cards Inc. Kansas City, MO	NaN	NaN	56.0	NaN	90.0	75.0	NaN	NaN	NaN
Hannaford Brothers Portland, ME	NaN	NaN	NaN	NaN	93.0	65.0	NaN	NaN	NaN
Harrah's Entertainment Inc. Las Vegas, NV	NaN	309.0	NaN	NaN	100.0	95.0	NaN	NaN	NaN
Harris Bankcorp Inc. Chicago, IL	NaN	NaN	NaN	NaN	95.0	75.0	NaN	NaN	NaN
Harris Interactive Inc. Rochester, NY	NaN	NaN	NaN	NaN	93.0	NaN	NaN	NaN	Headquarters
Harry & David Holdings Inc. Medford, OR	NaN	NaN	NaN	NaN	43.0	58.0	NaN	NaN	NaN
Hartford Financial Services Co. Hartford, CT	NaN	78.0	NaN	NaN	100.0	75.0	NaN	NaN	NaN
Harvard Pilgrim Health Care Inc. Wellesley, MA	NaN	NaN	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Hasbro Inc. Pawtucket, RI	NaN	602.0	NaN	NaN	50.0	65.0	NaN	NaN	2006 Fortune 1000
Haynes and Boone Dallas, TX	NaN	NaN	NaN	101.0	75.0	NaN	NaN	NaN	NaN
Health Net Inc. Woodland Hills, CA	NaN	191.0	NaN	NaN	93.0	93.0	NaN	NaN	NaN
Heller Ehrman LLP San Francisco, CA	NaN	NaN	NaN	43.0	100.0	100.0	NaN	NaN	2006 AmLaw 200
Herman Miller Inc. Zeeland, MI	NaN	964.0	NaN	NaN	100.0	NaN	NaN	NaN	NaN
Hershey Co., The Hershey, PA	NaN	442.0	NaN	NaN	70.0	50.0	NaN	NaN	2008 CEI Rating
Hewitt Associates Lincolnshire, IL	NaN	633.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Hewlett-Packard Co. Palo Alto, CA	NaN	11.0	NaN	NaN	100.0	100.0	NaN	NaN	2006 CEI Rating
Hilton Hotels Corp. Beverly Hills, CA	NaN	464.0	NaN	NaN	95.0	95.0	NaN	NaN	NaN
Hoffmann-La Roche Inc. Nutley, NJ	NaN	NaN	NaN	NaN	80.0	80.0	NaN	NaN	NaN
Hogan & Hartson Washington, DC	NaN	NaN	NaN	21.0	80.0	NaN	NaN	NaN	1b
Holland & Knight LLP New York, NY	NaN	NaN	NaN	28.0	100.0	75.0	NaN	NaN	NaN
Home Depot Inc. Atlanta, GA	NaN	14.0	NaN	NaN	85.0	85.0	NaN	NaN	NaN
Honeywell International Inc. Morristown, NJ	NaN	71.0	NaN	NaN	100.0	100.0	NaN	NaN	NaN
Hospira Inc. Lake Forest, IL	NaN	660.0	NaN	NaN	100.0	100.0	NaN	NaN	2c
Hotels.com LP Dallas, TX	NaN	NaN	NaN	NaN	85.0	85.0	NaN	NaN	NaN
Howard & Howard Attorneys PC Kalamazoo, MI	NaN	NaN	NaN	NaN	48.0	48.0	NaN	NaN	NaN
Howrey Simon Arnold & White LLP Washington, DC	NaN	NaN	NaN	61.0	85.0	NaN	NaN	NaN	3b
HSBC USA Inc Prospect Heights, IL	NaN	NaN	NaN	NaN	100.0	95.0	NaN	NaN	3c
Humana Inc. Louisville, KY	NaN	150.0	NaN	NaN	40.0	40.0	NaN	NaN	NaN
Hunton & Williams Richmond, VA	NaN	NaN	NaN	44.0	75.0	NaN	NaN	NaN	NaN
Illinois Tool Works Inc. Glenview, IL	NaN	173.0	NaN	NaN	68.0	53.0	NaN	NaN	5
Imation Corp. Oakdale, MN	NaN	NaN	NaN	NaN	93.0	93.0	NaN	NaN	NaN
