Time Warner Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	100.0	103.0	nan
Toyota Financial Services	nan	Torrance, CA	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
Toyota Motor Sales USA Inc.	nan	Torrance, CA	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
Troutman Sanders LLP	nan	Atlanta, GA	l	l	l	l	l	l	l	l	nan	100	100.0	nan	73.0
U.S. Bancorp	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	100.0	132.0	nan
UBS AG	nan	Stamford, CT	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
Unilever	nan	Englewood Cliffs, NJ	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
Union Bank	nan	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	nan	nan	nan
United Airlines	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	100.0	76.0	nan
United Technologies Corp.	nan	Hartford, CT	l	l	l	l	l	l	l	l	nan	100	100.0	48.0	nan
UnitedHealth Group Inc.	nan	Minnetonka, MN	l	l	l	l	l	l	l	l	nan	100	100.0	22.0	nan
Verizon Communications Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	100.0	15.0	nan
Viacom Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	90.0	177.0	nan
Volkswagen Group of America Inc	nan	Herndon, VA	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
Wachtell, Lipton, Rosen & Katz LL	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	100.0	nan	56.0
Walgreen Co.	nan	Deerfield, IL	l	l	l	l	l	l	l	l	nan	100	100.0	32.0	nan
Walt Disney Co., The	nan	Burbank, CA	l	l	l	l	l	l	l	l	nan	100	100.0	66.0	nan
Weil, Gotshal & Manges LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	90.0	nan	11.0
Wells Fargo & Co.	nan	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	100.0	26.0	nan
Whirlpool Corp.	nan	Benton Harbor, MI	l	l	l	l	l	l	l	l	nan	100	100.0	147.0	nan
White & Case LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	100.0	nan	9.0
Wilmer Cutler Pickering Hale & D	rr LLP	Washington, DC	l	l	l	l	l	l	l	l	nan	100	100.0	nan	18.0
Winston & Strawn LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	100.0	nan	33.0
Wyndham Worldwide Corp.	nan	Parsippany, NJ	l	l	l	l	l	l	l	l	nan	100	100.0	547.0	nan
Wynn Resorts Ltd.	nan	Las Vegas, NV	l	l	l	l	l	l	l	l	nan	100	100.0	462.0	nan
Xerox Corp.	nan	Norwalk, CT	l	l	l	l	l	l	l	l	nan	100	100.0	127.0	nan
Yahoo! Inc.	nan	Sunnyvale, CA	l	l	l	l	l	l	l	l	nan	100	100.0	483.0	nan
ZenithOptimedia	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan	nan
3M Co.	nan	St. Paul, MN	l	l	l	l	l	l	l	l	nan	100	100.0	102.0	nan
A.T. Kearney Inc.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
