3M Co.	St. Paul, MN	l	l	l	l	l	l	l	l	nan	100	100.0	97.0	nan
A.T. Kearney Inc.	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
A|X Armani Exchange	New York, NY	l	l	l	l	l	l	w	l	nan	95	nan	nan	nan
AAA Northern California, Nevada & Utah Insurance Exchange	Walnut Creek, CA	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
Abbott Laboratories	Abbott Park, IL	l	nan	l	w	nan	nan	l	l	nan	60	60.0	69.0	nan
Abercrombie & Fitch Co.	New Albany, OH	l	l	l	l	l	l	l	l	nan	100	100.0	599.0	nan
AbitibiBowater Inc.	Greenville, SC	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0	474.0	nan
Accenture Ltd.	New York, NY	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
Acer Inc.	Irvine, CA	l	nan	l	w	nan	nan	nan	nan	nan	35	35.0	nan	nan
Adecco North America LLC	Melville, NY	l	l	l	l	nan	l	l	l	nan	90	90.0	nan	nan
Adobe Systems Inc.	San Jose, CA	l	l	l	l	nan	l	l	l	nan	90	90.0	556.0	nan
Advance Auto Parts (Advance Holding)	Roanoke, VA	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	30.0	387.0	nan
Advanced Micro Devices Inc.	Sunnyvale, CA	l	l	l	l	nan	nan	w	w	nan	65	70.0	357.0	nan
AECOM Technology Corp.	Los Angeles, CA	l	l	l	l	nan	l	l	l	nan	90	85.0	353.0	nan
AEGON USA Inc.	Cedar Rapids, IA	nan	nan	l	w	nan	nan	nan	nan	nan	20	20.0	nan	nan
Aropostale Inc.	New York, NY	l	l	l	l	l	nan	w	w	nan	75	nan	771.0	nan
AES Corp., The	Arlington, VA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	15.0	150.0	nan
Aetna Inc.	Hartford, CT	l	l	l	l	l	l	l	l	nan	100	100.0	77.0	nan
AFLAC Inc.	Columbus, GA	l	l	nan	nan	nan	nan	nan	nan	nan	30	30.0	125.0	nan
Agco	Duluth, GA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	15.0	340.0	nan
Agilent Technologies Inc.	Santa Clara, CA	l	l	l	l	nan	l	l	l	nan	90	75.0	419.0	nan
Ahold USA Inc.	Quincy, MA	l	l	l	w	nan	nan	w	nan	nan	55	55.0	nan	nan
AIG	New York, NY	l	l	l	l	l	l	l	l	nan	100	85.0	17.0	nan
Air Products & Chemicals Inc.	Allentown, PA	l	l	l	l	nan	l	l	l	nan	90	80.0	271.0	nan
AK Steel Holding Corp.	West Chester, OH	l	l	nan	nan	nan	nan	nan	nan	nan	30	30.0	383.0	nan
Akin, Gump, Strauss, Hauer & Feld LLP	Washington, DC	l	l	l	l	l	l	l	l	nan	100	100.0	nan	32.0
Alaska Air Group Inc.	Seattle, WA	l	l	l	l	nan	l	l	l	nan	90	90.0	554.0	nan
Alcatel-Lucent	Murray Hill, NJ	l	l	l	l	l	l	l	l	nan	100	100.0	nan	nan
Alcoa Inc.	New York, NY	l	l	l	l	l	l	l	l	nan	100	100.0	123.0	nan
Allegheny Energy Inc.	Greensburg, PA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	15.0	548.0	nan
Allergan Inc.	Irvine, CA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	15.0	457.0	nan
Alliant Energy Corp.	Madison, WI	l	nan	l	w	nan	nan	l	w	nan	50	50.0	602.0	nan
Alliant Techsystems Inc.	Minneapolis, MN	l	l	l	w	nan	nan	nan	nan	nan	50	35.0	472.0	nan
Allianz Life Insurance Co. of North America	Minneapolis, MN	l	l	l	w	nan	nan	l	nan	nan	60	60.0	nan	nan
Allscripts-Misys Healthcare Solutions Inc.	Chicago, IL	l	nan	nan	w	nan	nan	w	w	nan	30	30.0	nan	nan
Allstate Corp., The	Northbrook, IL	l	l	l	w	nan	l	l	l	nan	85	85.0	89.0	nan
Ally Financial Inc.	Detroit, MI	l	nan	nan	nan	nan	nan	nan	nan	nan	15	15.0	149.0	nan
Alston & Bird LLP	Atlanta, GA	l	l	l	l	l	l	l	l	nan	100	100.0	nan	47.0
Altria Group Inc.	Richmond, VA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	15.0	154.0	nan
Amazon.com Inc.	Seattle, WA	l	l	l	l	nan	l	l	l	nan	90	90.0	78.0	nan
AMC Entertainment Inc.	Kansas City, MO	l	l	l	l	l	l	l	l	nan	100	90.0	765.0	nan
Ameren Corp.	St. Louis, MO	l	l	l	w	nan	l	l	l	nan	85	60.0	313.0	nan
American Eagle Outfitters Inc.	Pittsburgh, PA	l	l	l	l	l	l	w	l	nan	95	80.0	671.0	nan
American Electric Power Co. Inc.	Columbus, OH	l	nan	l	l	nan	nan	l	w	nan	55	15.0	169.0	nan
American Express Co.	New York, NY	l	l	l	l	l	l	l	l	nan	100	100.0	91.0	nan
American Family Insurance Group	Madison, WI	l	l	nan	w	nan	nan	w	l	nan	55	55.0	358.0	nan
American Financial Group	Cincinnati, OH	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0	489.0	nan
Amerigroup Corp.	nan	Virginia Beach, VA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	0.0	396.0	nan
Ameriprise Financial Inc.	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	100.0	246.0	nan
AmerisourceBergen Corp.	nan	Chesterbrook, PA	l	l	l	l	nan	nan	nan	nan	nan	55	15.0	27.0	nan
Amgen Inc.	nan	Thousand Oaks, CA	l	l	l	w	nan	nan	l	nan	nan	60	45.0	163.0	nan
AMR Corp. (American Airlines)	nan	Fort Worth, TX	l	l	l	l	l	l	l	l	nan	100	100.0	118.0	nan
Anadarko Petroleum	nan	The Woodlands, TX	l	nan	nan	nan	nan	nan	nan	nan	nan	15	15.0	223.0	nan
Andrews Kurth LLP	nan	Houston, TX	l	l	l	l	nan	l	l	l	nan	90	90.0	nan	104.0
Anheuser-Busch Companies Inc.	nan	St. Louis, MO	l	l	l	l	nan	l	l	l	nan	90	90.0	nan	nan
Anixter International Inc.	nan	Glenview, IL	l	l	nan	nan	nan	nan	nan	nan	nan	30	30.0	414.0	nan
AOL	nan	New York, NY	l	l	l	l	l	nan	l	l	nan	90	nan	764.0	nan
Aon Corp.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	100.0	286.0	nan
Apache Corp.	nan	Houston, TX	l	l	nan	nan	nan	nan	nan	nan	nan	30	30.0	206.0	nan
Apollo Group Inc.	nan	Phoenix, AZ	l	nan	nan	nan	nan	nan	nan	nan	nan	15	nan	452.0	nan
Apple Inc.	nan	Cupertino, CA	l	l	l	l	l	l	l	l	nan	100	100.0	35.0	nan
Applied Materials Inc.	nan	Santa Clara, CA	l	l	l	w	nan	l	l	l	nan	85	85.0	259.0	nan
Aramark Corp.	nan	Philadelphia, PA	l	l	l	l	nan	l	l	l	nan	90	90.0	194.0	nan
Archer Daniels Midland Co.	nan	Decatur, IL	l	nan	l	w	nan	nan	nan	nan	nan	35	35.0	39.0	nan
Arent Fox LLP	nan	Washington, DC	l	l	l	w	nan	l	l	l	nan	85	85.0	nan	125.0
Arnold & Porter LLP	nan	Washington, DC	l	l	l	l	l	l	l	l	nan	100	90.0	nan	48.0
Arrow Electronics	nan	Melville, NY	l	nan	nan	nan	nan	nan	nan	nan	nan	15	15.0	140.0	nan
