company_name	location	cei_2016	cei_2015	forbes_1000
3M Co.	St. Paul, MN		100.0	100.0
A.T. Kearney Inc.	Chicago, IL		100.0	100.0
"AAA Northern California, Nevada & Utah Insurance Exchange"	Walnut Creek, CA		100.0	100.0
Abercrombie & Fitch Co.	New Albany, OH		100.0	100.0
Accenture Ltd.	New York, NY		100.0	100.0
Aetna Inc.	Hartford, CT		100.0	100.0
AIG	New York, NY		100.0	85.0
"Akin, Gump, Strauss, Hauer & Feld LLP"	Washington, DC		100.0	100.0
Alcatel-Lucent	Murray Hill, NJ		100.0	100.0
Alcoa Inc.	New York, NY		100.0	100.0
Alston & Bird LLP	Atlanta, GA		100.0	100.0
AMC Entertainment Inc.	Kansas City, MO		100.0	90.0
American Express Co.	New York, NY		100.0	100.0
Ameriprise Financial Inc.	Minneapolis, MN		100.0	100.0
AMR Corp. (American Airlines)	Fort Worth, TX		100.0	100.0
Aon Corp.	Chicago, IL		100.0	100.0
Apple Inc.	Cupertino, CA		100.0	100.0
Arnold & Porter LLP	Washington, DC		100.0	90.0
AT&T Inc.	Dallas, TX		100.0	100.0
Automatic Data Processing Inc.	Roseland, NJ		100.0	100.0
Avon Products Inc.	New York, NY		100.0	100.0
Bain & Co. Inc./ Bridgespan Group	Boston, MA		100.0	100.0
Baker & McKenzie LLP	Chicago, IL		100.0	100.0
Bank of America Corp.	Charlotte, NC		100.0	100.0
"Bank of New York Mellon Corp., The"	New York, NY		100.0	100.0
Barclays	New York, NY		100.0	100.0
Barnes & Noble Inc.	New York, NY		100.0	100.0
Best Buy Co. Inc.	Richfield, MN		100.0	100.0
Bingham McCutchen LLP	Boston, MA		100.0	100.0
BlackRock	New York, NY		100.0	75.0
Blue Cross Blue Shield of Florida Inc.	Jacksonville, FL		100.0	100.0
Blue Cross Blue Shield of Minnesota	Eagan, MN		100.0	100.0
BMO Bankcorp Inc.	Chicago, IL		100.0	100.0
BNP Paribas	New York, NY		100.0	85.0
Boehringer Ingelheim USA Corp.	Ridgefield, CT		100.0	90.0
Booz Allen Hamilton Inc.	McLean, VA		100.0	100.0
Boston Consulting Group	Boston, MA		100.0	100.0
Bristol-Myers Squibb Co.	New York, NY		100.0	100.0
Broadridge Financial Solutions Inc.	Lake Success, NY		100.0	90.0
Brown Rudnick LLP	Boston, MA		100.0	100.0
Brown-Forman Corp.	Louisville, KY		100.0	100.0
Bryan Cave LLP	Saint Louis, MO		100.0	100.0
CA Inc.	Islandia, NY		100.0	80.0
"Cadwalader, Wickersham & Taft LLP"	New York, NY		100.0	85.0
Caesars Entertainment Corp.	Las Vegas, NV		100.0	100.0
Capital One Financial Corp.	McLean, VA		100.0	100.0
Cardinal Health Inc.	Dublin, OH		100.0	100.0
Cargill Inc.	Wayzata, MN		100.0	100.0
Carlton Fields PA	Tampa, FL		100.0	100.0
Chapman and Cutler LLP	Chicago, IL		100.0	100.0
"Charles Schwab Corp., The"	San Francisco, CA		100.0	100.0
Chevron Corp.	San Ramon, CA		100.0	100.0
"Choate, Hall & Stewart LLP"	Boston, MA		100.0	100.0
Choice Hotels International Inc.	Silver Spring, MD		100.0	100.0
Chrysler Group LLC	Auburn Hills, MI		100.0	100.0
Chubb Corp.	Warren, NJ		100.0	100.0
CIGNA Corp.	Bloomfield, CT		100.0	90.0
Cisco Systems Inc.	San Jose, CA		100.0	100.0
Citigroup Inc.	New York, NY		100.0	100.0
"Cleary, Gottlieb, Steen & Hamilton LLP"	New York, NY		100.0	90.0
Clifford Chance uS LLP	New York, NY		100.0	100.0
Clorox Co.	Oakland, CA		100.0	100.0
"Coca-Cola Co., The"	Atlanta, GA		100.0	100.0
Comcast Corp.	Philadelphia, PA		100.0	80.0
Corning Inc.	Corning, NY		100.0	100.0
Covington & Burling LLP	Washington, DC		100.0	100.0
Credit Suisse uSA Inc.	New York, NY		100.0	100.0
Crowell & Moring LLP	Washington, DC		100.0	100.0
Cummins Inc.	Columbus, IN		100.0	100.0
Darden Restaurants Inc.	Orlando, FL		100.0	90.0
Debevoise & Plimpton LLP	New York, NY		100.0	100.0
Dechert LLP	Philadelphia, PA		100.0	
Delhaize America Inc.	Salisbury, NC		100.0	100.0
Dell Inc.	Round Rock, TX		100.0	100.0
Deloitte LLP	New York, NY		100.0	100.0
"Depository Trust & Clearing Corp., The"	New York, NY		100.0	
Deutsche Bank	New York, NY		100.0	100.0
Dewey & LeBoeuf LLP	New York, NY		100.0	100.0
Diageo North America	Norwalk, CT		100.0	100.0
Dickstein Shapiro LLP	Washington, DC		100.0	90.0
Digitas Inc.	Boston, MA		100.0	
DLA Piper	Baltimore, MD		100.0	100.0
Dorsey & Whitney LLP	Minneapolis, MN		100.0	100.0
"Dow Chemical Co., The"	Midland, MI		100.0	100.0
E&J Gallo Winery	Modesto, CA		100.0	60.0
Eastman Kodak Co.	Rochester, NY		100.0	100.0
