company_name	location	cei_2016	cei_2015	forbes_1000
3M Co.	St. Paul, MN		100.0	100.0
A.T. Kearney Inc.	Chicago, IL		100.0	80.0
	San Francisco, CA		100.0	100.0
Abbott Laboratories	Abbott Park, IL		80.0	80.0
Abercrombie & Fitch Co.	New Albany, OH		100.0	100.0
Accenture Ltd.	New York, NY		100.0	100.0
Acer Inc.	Irvine, CA		50.0	50.0
Adecco North America LLC	Melville, NY		85.0	85.0
Adobe Systems Inc.	San Jose, CA		95.0	95.0
Advanced Micro Devices Inc.	Sunnyvale, CA		75.0	80.0
AEGON USA Inc.	Cedar Rapids, IA		40.0	40.0
Aetna Inc.	Hartford, CT		100.0	100.0
Affiliated Computer Services Inc.	Dallas, TX		60.0	60.0
Agilent Technologies Inc.	Santa Clara, CA		100.0	100.0
Ahold USA Inc.	Quincy, MA		78.0	78.0
Air Products & Chemicals Inc.	Allentown, PA		75.0	75.0
"1bAkin, Gump, Strauss, Hauer & Feld LLP"	Washington, DC	29.0	100.0	100.0
Alaska Air Group Inc.	Seattle, WA		100.0	100.0
Alcatel-Lucent	Murray Hill, NJ		100.0	100.0
Alcoa Inc.	New York, NY		100.0	85.0
Allegheny Energy Inc.	Greensburg, PA		45.0	45.0
Alliant Energy Corp.	Madison, WI		80.0	85.0
3bAlliant Techsystems Inc.	Edina, MN		65.0	65.0
	Minneapolis, MN		100.0	100.0
"Allstate Corp., The"	Northbrook, IL		100.0	100.0
Alston & Bird LLP	Atlanta, GA	54.0	100.0	100.0
Amazon.com Inc.	Seattle, WA		95.0	80.0
AMC Entertainment Inc.	Kansas City, MO	166.0	100.0	63.0
Ameren Corp.	St. Louis, MO		70.0	45.0
American Express Co.	New York, NY		100.0	100.0
American Family Insurance Group	Madison, WI		88.0	95.0
Ameriprise Financial Inc.	Minneapolis, MN		100.0	100.0
Amgen Inc.	Thousand Oaks, CA		70.0	70.0
AMR Corp. (American Airlines)	Fort Worth, TX		100.0	100.0
AmTrust Bank	Cleveland, OH		83.0	83.0
Andrews Kurth LLP	Houston, TX	107.0	70.0	70.0
Anheuser-Busch Companies Inc.	St. Louis, MO		100.0	100.0
Aon Corp.	Chicago, IL			100.0
Apple Inc.	Cupertino, CA			100.0
Applied Materials Inc.	Santa Clara, CA			100.0
Aramark Corp.	Philadelphia, PA	20.0		75.0
