company_name	location	cei_2016	cei_2015	forbes_1000
"A.T. Kearney Inc. Chicago, IL",l,l,l,l,l,,l,l,l,l,l,,100.0,100.0,,Allscripts-Misys Healthcare Solutions Inc.	Chicago, IL			
"AAA Northern California, Nevada and Utah Walnut Creek, CA",l,l,l,l,l,,l,l,l,l,l,,100.0,100.0,	Allstate Corp., The	100.0	100.0	81.0
"Abbott Laboratories Abbott Park, IL",l,l,,l,l,,l,l,l,l,l,,85.0,80.0,80.0,Alston & Bird LLP	Atlanta, GA	100.0	100.0	
"Abercrombie & Fitch Co. New Albany, OH",l,l,l,l,l,,l,l,l,l,l,,100.0,100.0,607.0,Altria Group Inc.	Richmond, VA			
"AbitibiBowater Inc. Greenville, SC",,,,,,,,,,,,,0.0,,379.0,Amazon.com Inc.	Seattle, WA	95.0	95.0	130.0
"Accenture Ltd. New York, NY",l,l,l,l,l,,l,l,l,l,l,,100.0,100.0,,AMC Entertainment Inc.	Kansas City, MO	100.0	100.0	777.0
"Acer Inc. Irvine, CA",l,l,,,l,,l,l,l,,,,50.0,50.0,,Ameren Corp.	St. Louis, MO	70.0	70.0	327.0
"Adecco North America LLC Melville, NY",l,l,l,l,l,,l,l,l,,l,,85.0,85.0,,American Eagle Outfitters Inc.	Pittsburgh, PA	93.0		690.0
"5 pointsAdobe Systems Inc. San Jose, CA",l,l,l,l,,,l,l,l,l,l,,95.0,95.0,601.0,American Electric Power Co. Inc.	Columbus, OH			
"Advance Auto Parts (Advance Holding) Roanoke, VA",l,,l,,,,,,,,,,30.0,,461.0,American Express Co.	New York, NY	100.0	100.0	74.0
"Advanced Micro Devices Inc. Sunnyvale, CA",l,l,l,l,l,,l,l,l,w,l,,93.0,75.0,418.0,American Family Insurance Group	Madison, WI	88.0	88.0	388.0
"AECOM Technology Corp. Los Angeles, CA",l,,,,,,l,,,,,,30.0,,458.0,Ameriprise Financial Inc.	Minneapolis, MN	100.0	100.0	348.0
"AEGON USA Inc. Cedar Rapids, IA",,l,,l,l,,l,l,l,,,,40.0,40.0,,AmerisourceBergen Corp.	Chesterbrook, PA			
"AES Corp., The Arlington, VA",l,,,,,,,,,,,,15.0,,158.0,Amgen Inc.	Thousand Oaks, CA		70.0	70.0
"Aetna Inc. Hartford, CT",l,l,l,l,l,4.0,l,l,l,l,l,,100.0,100.0,77.0,AMR Corp. (American Airlines)	Fort Worth, TX	100.0	100.0	104.0
"Affiliated Computer Services Dallas, TX",l,l,,,,,l,l,l,,l,,60.0,60.0,401.0,AmTrust Bank	Cleveland, OH	83.0	83.0	
"AFLAC Inc. Columbus, GA",l,,l,,,,,,,,,,30.0,,152.0,Anadarko Petroleum	The Woodlands, TX			
"Agco Duluth, GA",l,,,,,,,,,,,,15.0,,306.0,Andrews Kurth LLP	Houston, TX	95.0	70.0	
"Agilent Technologies Inc. Santa Clara, CA",l,l,l,l,l,,l,l,l,l,l,,100.0,100.0,425.0,Anheuser-Busch Companies Inc.	St. Louis, MO	100.0	100.0	
"Ahold USA Inc. Quincy, MA",l,l,l,l,l,,l,l,l,w,,,78.0,78.0,,Anixter International Inc.	Glenview, IL			
"AIG New York, NY",l,l,l,l,l,,l,l,l,l,l,,100.0,85.0,,Aon Corp.	Chicago, IL	100.0	100.0	307.0
"Air Products & Chemicals Inc. Allentown, PA",l,l,l,l,l,,l,l,l,l,l,,100.0,75.0,248.0,Apache Corp.	Houston, TX			
"AK Steel Holding Corp. West Chester, OH",,,,,,,,,,,,,0.0,,334.0,Apple Inc.	Cupertino, CA	100.0	100.0	71.0
"Akin, Gump, Strauss, Hauer & Feld LLP Washington, DC",l,l,l,l,l,,l,l,l,l,l,,100.0,100.0,,31 Applied Materials Inc.	Santa Clara, CA	100.0	100.0	315.0
"Alaska Air Group Inc. Seattle, WA",l,l,l,l,l,,l,l,l,l,l,,100.0,100.0,591.0,Aramark Corp.	Philadelphia, PA	90.0	75.0	198.0
"Alcatel-Lucent Murray Hill, NJ",l,l,l,l,l,4.0,l,l,l,l,l,,100.0,100.0,,Archer Daniels Midland Co.	Decatur, IL			
"Alcoa Inc. New York, NY",l,l,l,l,l,,l,l,l,l,l,,100.0,100.0,90.0,Arent Fox LLP	Washington, DC	100.0	100.0	
"Aleris International Inc. Beachwood, OH",,,,,,,,,,,,,0.0,,413.0,Arnold & Porter LLP	Washington, DC	100.0	100.0	
"Allegheny Energy Inc. Greensburg, PA",l,l,,l,,,l,,l,,,,45.0,45.0,630.0,Arrow Electronics	Melville, NY			
"Allegheny Technologies Inc. Pittsburgh, PA",l,,l,,,,,,,,,,30.0,,448.0,ArvinMeritor Inc.	Troy, MI			
"Alliant Energy Corp. Madison, WI",l,l,,l,,,l,l,l,l,l,,80.0,80.0,588.0,Asbury Automotive Group	Duluth, GA			
"Alliant Techsystems Inc. Minneapolis, MN",l,l,l,,l,,l,l,l,,,,65.0,65.0,539.0,Ashland Inc.	Covington, KY			
Exxon Mobil Corp.	Irving, TX			
Faegre & Benson LLP	Minneapolis, MN		95.0	100.0
Family Dollar Stores	Matthews, NC			
Federal Home Loan Mortgage Corp.	McLean, VA		100.0	100.0
Federal National Mortgage Association	Washington, DC		100.0	100.0
FedEx Corp.	Memphis, TN			
Fenwick & West LLP	Mountain View, CA		100.0	100.0
Fifth Third Bancorp	Cincinnati, OH		75.0	80.0
"Finnegan, Henderson, Farabow, Garrett &"	Washington, DC		100.0	100.0
First Data Corp.	Greenwood Village, CO			
FirstEnergy Corp.	Akron, OH			
Fiserv Inc.	Brookfield, WI			
Fish & Richardson PC	Boston, MA		100.0	95.0
Fluor Corp.	Irving, TX			
FMC Technologies Inc.	Houston, TX			
Foley & Lardner LLP	Milwaukee, WI	85.0	85.0	
Foley Hoag LLP	Boston, MA		100.0	100.0
Food Lion LLC	Salisbury, NC		100.0	100.0
Foot Locker	New York, NY			
Ford Motor Co.	Dearborn, MI		100.0	100.0
Fortune Brands Inc.	Deerfield, IL			
FPL Group Inc.	Juno Beach, FL			
Franklin Resources Inc.	San Mateo, CA			
Freeport-McMoRan Copper & Gold Inc.	Phoenix, AZ			
Freescale Semiconductor Inc.	Austin, TX		100.0	100.0
"Fried, Frank, Harris, Shriver & Jacobson LLP"	New York, NY		100.0	100.0
Frontier Oil Corp.	Houston, TX			
Frost Brown Todd LLC	Cincinnati, OH		95.0	85.0
Fulbright & Jaworski LLP	Houston, TX		100.0	100.0
GameStop Corp.	Grapevine, TX		100.0	100.0
Gannett Co. Inc.	McLean, VA			65.0
Gap Inc.	San Francisco, CA		100.0	100.0
Gastronomy Inc.	Salt Lake City, UT			
	San Francisco, CA			
General Cable Corp.	Highland Heights., KY			
General Dynamics Corp.	Falls Church, VA			
General Electric Co.	Fairfield, CT		80.0	80.0
General Mills Inc.	Minneapolis, MN		100.0	100.0
General Motors Co.	Detroit, MI		100.0	100.0
Genuine Parts Co.	Atlanta, GA			
Genworth Financial Inc.	Richmond, VA			
"Gibson, Dunn & Crutcher LLP"	Los Angeles, CA		100.0	100.0
Gilead Sciences Inc.	Foster City, CA			
	Park, NC			
Global Partners	Waltham, MA			
GMAC LLC	Detroit, MI			
"Goldman Sachs Group Inc., The"	New York, NY		100.0	100.0
Goodrich Corp.	Charlotte, NC			
Goodwin Procter LLP	Boston, MA		100.0	100.0
Goodyear Tire & Rubber Co.	Akron, OH			
Google Inc.	Mountain View, CA		100.0	100.0
Gordon & Rees LLP	San Francisco, CA		95.0	95.0
"Graybar Electric Company, Inc."	St. Louis, MO			
"Great Atlantic & Pacific Tea Co. Inc., The"	Montvale, NJ			
Greenberg Traurig LLP	Miami, FL		100.0	83.0
Group 1 Automotive	Houston, TX			
Group Health Cooperative	Seattle, WA		93.0	88.0
Group Health Permanente	Seattle, WA		90.0	85.0
"Guardian Life Insurance Co. of America, The"	New York, NY			
H&R Block Inc.	Kansas City, MO		65.0	65.0
H.E. Butt Grocery Co.	San Antonio, TX		75.0	75.0
H.J. Heinz Co.	Pittsburgh, PA			
Hain Celestial Group Inc.	Melville, NY		85.0	70.0
Halliburton Co.	Houston, TX			
Patterson Companies	St. Paul, MN			63.0
Patton Boggs LLP	Washington, DC		80.0	
"Paul, Hastings, Janofsky & Walker LLP"	Los Angeles, CA		100.0	100.0
"Paul, Weiss, Rifkind, Wharton & Garrison"	New York, NY		90.0	80.0
Peabody Energy Corp.	St. Louis, MO			
Pearson Inc.	New York, NY		100.0	75.0
Penske Automotive Group	Bloomfield Hills, MI			
Pepco Holdings Inc.	Washington, DC		80.0	80.0
Pepper Hamilton LLP	Philadelphia, PA		100.0	100.0
PepsiCo Inc.	Purchase, NY		100.0	100.0
Perini Corporation	Framingham, MA			
Perkins + Will Inc.	Chicago, IL			
Perkins Coie LLP	Seattle, WA		100.0	100.0
Perot Systems Corp.	Plano, TX			
Peter Kiewit Sons’ Inc.	Omaha, NE			
PetSmart Inc.	Phoenix, AZ			
Pfizer Inc.	New York, NY		100.0	100.0
PG&E Corp.	San Francisco, CA		100.0	100.0
Philip Morris International Inc.	New York, NY			
Pilgrim’s Pride Corporation	Pittsburg, TX			
Pillsbury Winthrop Shaw Pittman LLP	New York, NY		100.0	100.0
Pinnacle West Capital	Phoenix, AZ			
Pitney Bowes Inc.	Stamford, CT			
"Plains All American Pipeline, LP"	Houston, TX			
"PNC Financial Services Group Inc., The"	Pittsburgh, PA		100.0	85.0
PNM Resources Inc.	Albuquerque, NM			
Polaroid Corp.	Waltham, MA			
Polo Ralph Lauren Corp.	New York, NY			
Polsinelli Shughart PC	Kansas City, MO		95.0	95.0
Portland General Electric Co.	Portland, OR		95.0	
PPG Industries Inc.	Pittsburgh, PA			
PPL Corp.	Allentown, PA			
Valassis Communications Inc.	Livonia, MI		80	809.0
Vertis Inc.	Baltimore, MD			
Alliant Techsystems Inc.	Minneapolis, MN			
General Dynamics Corp.	Falls Church, VA			
Goodrich Corp.	Charlotte, NC			
L-3 Communications Holdings	New York, NY			
Precision Castparts Corp.	Portland, OR			
Textron Inc.	Providence, RI			
Tenneco Inc.	Lake Forest, IL			
TRW Automotive Holdings Corp.	Livonia, MI			
BNP Paribas	New York, NY		100	
CoreLogic	Westlake, TX		100	398.0
	New York, NY		100.0	100.0
	New York, NY	100.0	100.0	82.0
Toyota Financial Services Corp.	Torrance, CA	100.0	100.0	
U.S. Bancorp	Minneapolis, MN	100.0	100.0	129.0
UBS AG	Stamford, CT	100.0	100.0	
Visa	San Francisco, CA	100.0	100.0	394.0
Wells Fargo & Co.	San Francisco, CA	100.0	100.0	41.0
Canadian Imperial Bank of Commerce	New York, NY	95.0	95.0	
Comerica Inc.	Dallas, TX	95.0	80.0	559.0
Moody’s Corp.	New York, NY	95.0	90.0	984.0
Morningstar Inc.	Chicago, IL	95.0	95.0	
E*TRADE Financial Corp.	New York, NY	93.0	93.0	659.0
Robert W. Baird & Co. Incorporated	Milwaukee, WI	90.0	90.0	
BB&T Corp.	Winston-Salem, NC	88.0	73.0	260.0
AmTrust Bank	Cleveland, OH	83.0	83.0	
Fifth Third Bancorp	Cincinnati, OH	75.0	80.0	302.0
Huntington Bancshares Inc.	Columbus, OH			
H&R Block Inc.	Kansas City, MO	65.0	65.0	556.0
SLM Corp. (Sallie Mae)	Reston, VA			
Discover Financial Services	Riverwoods, IL		58.0	58.0
Chamberlin Edmonds & Associates Inc.	Atlanta, GA			
Franklin Resources Inc.	San Mateo, CA			50.0
"Dun & Bradstreet Corp., The"	Short Hills, NJ			
CIT Group Inc.	New York, NY			
BlackRock	New York, NY			
